"","seqnames","start","end","width","strand","gene_id","gene_source","gene_biotype","gene_name","symbol","root","characterized","cis_eqtl","pval_eqtl","cis_sqtl","pval_sqtl","ld","xpclr","fst"
"25","1",14479050,14479445,396,"+","Zm00001d027820","gramene","protein_coding","embryo surrounding region1","esr1",FALSE,TRUE,NA,NA,NA,NA,NA,7.3779468708761,0.192272166666667
"26","1",14492187,14492564,378,"+","Zm00001d027821","gramene","protein_coding","embryo surrounding region3","esr3",FALSE,TRUE,NA,NA,NA,NA,NA,7.66627791868744,0.18989925
"27","1",17609594,17615130,5537,"+","Zm00001d027918","gramene","protein_coding","","",FALSE,FALSE,NA,NA,NA,NA,NA,13.3606998210909,0.184514666666667
"28","1",17615562,17626036,10475,"-","Zm00001d027919","gramene","protein_coding","","",FALSE,FALSE,NA,NA,NA,NA,NA,14.2343929331818,0.184514666666667
"29","1",17617359,17621852,4494,"+","Zm00001d027920","gramene","protein_coding","","",FALSE,FALSE,NA,NA,NA,NA,NA,14.2343929331818,0.184514666666667
"30","1",17697601,17709046,11446,"+","Zm00001d027921","gramene","protein_coding","","",TRUE,FALSE,"1-17391375",2.43460860609144e-27,"1-17399385",4.36528593764212e-50,0.172177944495424,16.7121937376,0.199114125
"31","1",17722776,17726155,3380,"-","Zm00001d027922","gramene","protein_coding","","",TRUE,FALSE,"1-17461712",1.67709976186413e-29,NA,NA,NA,15.7992437412857,0.199114125
"32","1",17775779,17777344,1566,"-","Zm00001d027924","gramene","protein_coding","AP2-EREBP-transcription factor 179","ereb179",TRUE,FALSE,NA,NA,"1-17488171",7.78561702003705e-27,NA,8.4266884655,0.194594333333333
"33","1",23884937,23885009,73,"-","Zm00001d028135","gramene","tRNA","","",FALSE,FALSE,NA,NA,NA,NA,NA,7.789370087,0.214051
"34","1",23886427,23886739,313,"+","Zm00001d022695","gramene","lincRNA","","",FALSE,FALSE,NA,NA,NA,NA,NA,7.789370087,0.214051
"35","1",23886807,23886879,73,"-","Zm00001d028136","gramene","tRNA","","",FALSE,FALSE,NA,NA,NA,NA,NA,7.789370087,0.214051
"36","1",23889397,23890397,1001,"-","Zm00001d028137","gramene","protein_coding","","",FALSE,FALSE,NA,NA,NA,NA,NA,7.2529212765,0.207819
"37","1",23950399,23952029,1631,"-","Zm00001d028138","gramene","protein_coding","","",FALSE,FALSE,NA,NA,NA,NA,NA,7.2529212765,0.20014725
"38","1",23959615,23962773,3159,"-","Zm00001d028139","gramene","protein_coding","","bnlg1953",TRUE,TRUE,"1-23561860",5.77747922379605e-15,NA,NA,NA,7.2529212765,0.20014725
"39","1",23975045,23975255,211,"+","Zm00001d022696","gramene","lincRNA","","",FALSE,FALSE,NA,NA,NA,NA,NA,7.2529212765,0.20014725
"40","1",23975834,23981932,6099,"+","Zm00001d028140","gramene","protein_coding","","",FALSE,FALSE,NA,NA,NA,NA,NA,7.2529212765,0.20014725
"41","1",25094816,25099163,4348,"+","Zm00001d028168","gramene","protein_coding","","",FALSE,FALSE,NA,NA,NA,NA,NA,11.117123748,0.179164
"42","1",25107834,25110428,2595,"+","Zm00001d028169","gramene","protein_coding","","",FALSE,FALSE,NA,NA,NA,NA,NA,11.117123748,0.179164
"43","1",25116199,25117425,1227,"+","Zm00001d028170","gramene","protein_coding","","",TRUE,FALSE,NA,NA,NA,NA,NA,11.117123748,0.179164
"44","1",25153513,25154838,1326,"+","Zm00001d028171","gramene","protein_coding","","",TRUE,FALSE,"1-24778069",1.39894702760692e-18,NA,NA,NA,9.5438939945,0.179164
"45","1",25155607,25160138,4532,"-","Zm00001d028172","gramene","protein_coding","","",FALSE,FALSE,NA,NA,NA,NA,NA,9.5438939945,0.179164
"46","1",25577402,25578107,706,"+","Zm00001d028179","gramene","protein_coding","","",FALSE,FALSE,NA,NA,NA,NA,NA,37.226416222,0.310623
"47","1",25632515,25636718,4204,"+","Zm00001d028180","gramene","protein_coding","low phytic acid1","mips1",TRUE,TRUE,"1-25208944",5.03042450956432e-21,NA,NA,NA,65.6815845632857,0.324189428571429
"48","1",25715085,25717227,2143,"+","Zm00001d028181","gramene","protein_coding","","",TRUE,FALSE,"1-25290618",1.71917603034597e-49,NA,NA,NA,52.053803174,0.269654375
"49","1",25720877,25723883,3007,"+","Zm00001d028182","gramene","protein_coding","","",FALSE,FALSE,NA,NA,NA,NA,NA,48.9418381941111,0.257673142857143
"50","1",25725534,25732327,6794,"-","Zm00001d028183","gramene","protein_coding","","pco073966",TRUE,FALSE,NA,NA,NA,NA,NA,48.9418381941111,0.257673142857143
"51","1",25734022,25737544,3523,"+","Zm00001d028184","gramene","protein_coding","","",FALSE,FALSE,NA,NA,NA,NA,NA,45.39624546,0.244759166666667
"52","1",25738664,25741208,2545,"-","Zm00001d028185","gramene","protein_coding","remorin6.3","remo1",TRUE,TRUE,"1-25395443",1.51022103274668e-14,"1-25393831",1.27846414640856e-18,0.483711081825174,45.39624546,0.244759166666667
"53","1",25742203,25745382,3180,"+","Zm00001d028186","gramene","protein_coding","","",FALSE,FALSE,NA,NA,NA,NA,NA,40.7437822528571,0.2292842
"54","1",25755280,25759748,4469,"+","Zm00001d028187","gramene","protein_coding","","umc1711",TRUE,TRUE,NA,NA,NA,NA,NA,35.5442447186667,0.2153405
"55","1",25760320,25767012,6693,"-","Zm00001d028188","gramene","protein_coding","","",TRUE,FALSE,"1-25423284",1.24975041163771e-09,NA,NA,NA,30.158373877,0.199990333333333
"56","1",25769858,25774094,4237,"-","Zm00001d028189","gramene","protein_coding","","",TRUE,FALSE,NA,NA,NA,NA,NA,30.158373877,0.199990333333333
"57","1",30246573,30253035,6463,"+","Zm00001d028312","gramene","protein_coding","","",FALSE,FALSE,NA,NA,NA,NA,NA,7.93555396133333,0.2485394
"58","1",33086231,33088568,2338,"-","Zm00001d028390","gramene","protein_coding","","",FALSE,FALSE,NA,NA,NA,NA,NA,11.4635219486667,0.184661
"59","1",33115669,33118053,2385,"-","Zm00001d028391","gramene","protein_coding","","",TRUE,FALSE,NA,NA,NA,NA,NA,12.7625689531667,0.183262
"60","1",33147676,33150346,2671,"-","Zm00001d028392","gramene","protein_coding","","adf5",TRUE,TRUE,"1-32847195",8.49881811580312e-12,NA,NA,NA,12.4544204237,0.205494111111111
"61","1",33164527,33166953,2427,"-","Zm00001d028393","gramene","protein_coding","","",FALSE,FALSE,NA,NA,NA,NA,NA,12.9134447708889,0.205494111111111
"62","1",33167117,33168214,1098,"+","Zm00001d028394","gramene","protein_coding","","",FALSE,FALSE,NA,NA,NA,NA,NA,12.9134447708889,0.205494111111111
"63","1",33168640,33169312,673,"-","Zm00001d028395","gramene","protein_coding","","",TRUE,FALSE,NA,NA,NA,NA,NA,12.9134447708889,0.205494111111111
"64","1",33303345,33310707,7363,"-","Zm00001d028396","gramene","protein_coding","","",TRUE,FALSE,"1-32846418",4.60666379770698e-17,NA,NA,NA,23.1889939967485,0.313164181818182
"65","1",33440965,33448136,7172,"+","Zm00001d028397","gramene","protein_coding","","",TRUE,FALSE,NA,NA,NA,NA,NA,9.76019799250179,0.202459
"66","1",33451482,33454805,3324,"+","Zm00001d028398","gramene","protein_coding","","xyl5",TRUE,TRUE,NA,NA,NA,NA,NA,8.37000977533333,0.18913875
"67","1",33490519,33491688,1170,"+","Zm00001d022708","gramene","lincRNA","","",FALSE,FALSE,NA,NA,NA,NA,NA,8.37000977533333,0.18913875
"68","1",33490777,33491213,437,"+","Zm00001d022709","gramene","lincRNA","","",FALSE,FALSE,NA,NA,NA,NA,NA,8.37000977533333,0.18913875
"69","1",38985184,38986051,868,"+","Zm00001d028552","gramene","protein_coding","","",FALSE,FALSE,NA,NA,NA,NA,NA,6.354909853,0.193085
"70","1",38993551,38998358,4808,"-","Zm00001d028554","gramene","protein_coding","","hsp10",TRUE,TRUE,"1-38641784",6.49592583572784e-10,"1-38638039",1.84305315343319e-74,0.0312212174767036,6.354909853,0.193085
"71","1",38997819,38998295,477,"+","Zm00001d028555","gramene","protein_coding","","hsp10",TRUE,TRUE,NA,NA,NA,NA,NA,6.354909853,0.193085
"72","1",46826505,46831989,5485,"-","Zm00001d028802","gramene","protein_coding","","",TRUE,FALSE,"1-46559729",9.27719833648747e-22,NA,NA,NA,8.3149279287391,0.196797
"73","1",46852702,46858687,5986,"-","Zm00001d028803","gramene","protein_coding","","",FALSE,FALSE,NA,NA,NA,NA,NA,8.3149279287391,0.196797
"74","1",46898667,46903474,4808,"-","Zm00001d028804","gramene","protein_coding","","",TRUE,FALSE,"1-46627698",1.00510861787428e-97,NA,NA,NA,8.68067188648793,0.196797
"75","1",47876114,47877953,1840,"+","Zm00001d028828","gramene","protein_coding","C3H-transcription factor 341","c3h41",FALSE,FALSE,NA,NA,NA,NA,NA,6.606405464,0.313024142857143
"76","1",47880745,47883443,2699,"+","Zm00001d028829","gramene","protein_coding","","",FALSE,FALSE,NA,NA,NA,NA,NA,7.5002309025,0.3348995
"77","1",47982359,47988628,6270,"-","Zm00001d028830","gramene","protein_coding","","",TRUE,FALSE,NA,NA,NA,NA,NA,6.61144783483333,0.4935546
"78","1",47989803,47991767,1965,"-","Zm00001d028831","gramene","protein_coding","","",FALSE,FALSE,NA,NA,NA,NA,NA,6.61144783483333,0.4935546
"79","1",48144847,48146062,1216,"+","Zm00001d028835","gramene","protein_coding","","",FALSE,FALSE,NA,NA,NA,NA,NA,7.488000487,0.2842616
"80","1",48330999,48331432,434,"-","Zm00001d028839","gramene","protein_coding","","",FALSE,FALSE,NA,NA,NA,NA,NA,23.2226900816,0.2573212
"81","1",48333284,48337489,4206,"+","Zm00001d028840","gramene","protein_coding","","",TRUE,FALSE,NA,NA,NA,NA,NA,23.2226900816,0.2573212
"82","1",48337931,48338995,1065,"+","Zm00001d028841","gramene","protein_coding","","",TRUE,FALSE,NA,NA,NA,NA,NA,23.2226900816,0.2573212
"83","1",48424617,48430126,5510,"-","Zm00001d028842","gramene","protein_coding","MYB-related-transcription factor 91","mybr102",FALSE,FALSE,NA,NA,NA,NA,NA,17.0392313921429,0.225559571428571
"84","1",48430486,48430558,73,"+","Zm00001d028843","gramene","tRNA","","",FALSE,FALSE,NA,NA,NA,NA,NA,15.795817916,0.2214555
"85","1",48431072,48431144,73,"-","Zm00001d028844","gramene","tRNA","","",FALSE,FALSE,NA,NA,NA,NA,NA,15.795817916,0.2214555
"86","1",48436711,48438133,1423,"-","Zm00001d028845","gramene","protein_coding","","",FALSE,FALSE,NA,NA,NA,NA,NA,15.795817916,0.2214555
"87","1",48443120,48443192,73,"+","Zm00001d028847","gramene","tRNA","","",FALSE,FALSE,NA,NA,NA,NA,NA,14.1791308022,0.2300374
"88","1",48443705,48443777,73,"-","Zm00001d028848","gramene","tRNA","","",FALSE,FALSE,NA,NA,NA,NA,NA,14.1791308022,0.2300374
"89","1",48449345,48450829,1485,"-","Zm00001d028849","gramene","protein_coding","","",FALSE,FALSE,NA,NA,NA,NA,NA,14.1791308022,0.2300374
"90","1",48956482,48959493,3012,"-","Zm00001d028866","gramene","protein_coding","","",TRUE,FALSE,NA,NA,NA,NA,NA,57.197346752,0.247595
"91","1",49060954,49063784,2831,"-","Zm00001d028867","gramene","protein_coding","","AY110240",TRUE,TRUE,"1-48655584",4.3630368461795e-13,NA,NA,NA,32.8924732234444,0.20579
"92","1",49087869,49093033,5165,"-","Zm00001d028868","gramene","protein_coding","","",TRUE,FALSE,"1-48686444",1.53489101504382e-36,NA,NA,NA,27.080844095,0.201757875
"93","1",49267598,49268126,529,"+","Zm00001d028871","gramene","protein_coding","","",FALSE,FALSE,NA,NA,NA,NA,NA,9.4838021022,0.2964855
"94","1",49274472,49276941,2470,"+","Zm00001d028872","gramene","protein_coding","","",TRUE,FALSE,NA,NA,NA,NA,NA,10.3231731866667,0.3115162
"95","1",49279038,49280540,1503,"+","Zm00001d028873","gramene","protein_coding","","",FALSE,FALSE,NA,NA,NA,NA,NA,11.5241465401429,0.3233665
"96","1",49292250,49293617,1368,"-","Zm00001d028874","gramene","protein_coding","","",TRUE,FALSE,NA,NA,NA,NA,NA,12.3967922445,0.336974571428571
"97","1",49355748,49389986,34239,"-","Zm00001d028875","gramene","protein_coding","","",FALSE,FALSE,NA,NA,NA,NA,NA,17.8830106943077,0.426718615384615
"98","1",49474188,49475858,1671,"+","Zm00001d028876","gramene","protein_coding","","",TRUE,FALSE,NA,NA,NA,NA,NA,13.2640991592644,0.2695347
"99","1",49476900,49477390,491,"+","Zm00001d028877","gramene","protein_coding","","",FALSE,FALSE,NA,NA,NA,NA,NA,13.2640991592644,0.2695347
"100","1",49478393,49479415,1023,"+","Zm00001d028878","gramene","protein_coding","","",FALSE,FALSE,NA,NA,NA,NA,NA,13.2640991592644,0.2695347
"101","1",49496883,49497413,531,"+","Zm00001d028879","gramene","protein_coding","bZIP-transcription factor 24","bzip24",TRUE,FALSE,"1-49086105",5.13615737871046e-30,NA,NA,NA,12.0267625022342,0.2265505
"102","1",49535063,49535443,381,"+","Zm00001d028880","gramene","protein_coding","","",TRUE,FALSE,"1-49126540",3.45971020056379e-15,NA,NA,NA,10.4179295919135,0.204966666666667
"103","1",49574147,49575303,1157,"+","Zm00001d028881","gramene","protein_coding","","",FALSE,FALSE,NA,NA,NA,NA,NA,7.44571528091686,0.197043
"104","1",49580985,49583956,2972,"-","Zm00001d028882","gramene","protein_coding","","",FALSE,FALSE,NA,NA,NA,NA,NA,6.90734468926894,0.193937
"105","1",49585839,49586662,824,"+","Zm00001d028883","gramene","protein_coding","","",FALSE,FALSE,NA,NA,NA,NA,NA,6.90734468926894,0.193937
"106","1",50719302,50721399,2098,"+","Zm00001d028909","gramene","protein_coding","","",TRUE,FALSE,"1-50182309",4.0688524385357e-33,NA,NA,NA,6.49912408525,0.1873585
"107","1",53748822,53754082,5261,"-","Zm00001d028987","gramene","protein_coding","","",TRUE,FALSE,NA,NA,NA,NA,NA,11.5828505003636,0.195406
"108","1",55558413,55560877,2465,"+","Zm00001d029035","gramene","protein_coding","","",FALSE,FALSE,NA,NA,NA,NA,NA,6.46594436733333,0.183047571428571
"109","1",55560773,55565406,4634,"-","Zm00001d029036","gramene","protein_coding","","",TRUE,FALSE,"1-54928854",1.07972420538794e-15,NA,NA,NA,6.46594436733333,0.183047571428571
"110","1",61494251,61495965,1715,"+","Zm00001d029184","gramene","protein_coding","","",FALSE,FALSE,NA,NA,NA,NA,NA,10.585082759,0.181715
"111","1",61532067,61532456,390,"+","Zm00001d029185","gramene","protein_coding","","",TRUE,FALSE,"1-60725521",9.57050798204719e-19,NA,NA,NA,26.9199112286667,0.190169
"112","1",61566224,61570528,4305,"+","Zm00001d029188","gramene","protein_coding","","",TRUE,FALSE,"1-60866706",4.6938640350806e-56,"1-60869237",2.26979112599774e-34,0.377570261524977,35.1539580284,0.216967125
"113","1",61571718,61574795,3078,"-","Zm00001d029189","gramene","protein_coding","","",TRUE,FALSE,"1-60873891",2.37196561302122e-26,"1-60870674",3.81462541262334e-20,0.254671086280068,35.1539580284,0.216967125
"114","1",61638930,61642292,3363,"+","Zm00001d029190","gramene","protein_coding","","",FALSE,FALSE,NA,NA,NA,NA,NA,45.317938362,0.252552666666667
"115","1",61642456,61663754,21299,"-","Zm00001d029191","gramene","protein_coding","","",TRUE,FALSE,"1-60818503",5.49364620420583e-13,NA,NA,NA,44.585459858,0.2572556
"116","1",61646122,61648831,2710,"+","Zm00001d029192","gramene","protein_coding","","",FALSE,FALSE,NA,NA,NA,NA,NA,44.585459858,0.2572556
"117","1",61664668,61668706,4039,"-","Zm00001d029193","gramene","protein_coding","","skus11",TRUE,TRUE,NA,NA,"1-60838470",8.0263001263761e-53,NA,42.4858094373333,0.267265
"118","1",63272548,63273003,456,"+","Zm00001d029233","gramene","protein_coding","","",TRUE,FALSE,"1-62462463",2.73799746777741e-19,NA,NA,NA,8.1386313277,0.185064666666667
"119","1",63275727,63280169,4443,"-","Zm00001d029234","gramene","protein_coding","","",TRUE,FALSE,"1-62500342",1.37388266890736e-21,"1-62496502",1.2030288766979e-31,0.0134651131160177,7.99444857645454,0.185064666666667
"120","1",63282987,63283952,966,"-","Zm00001d029235","gramene","protein_coding","","",FALSE,FALSE,NA,NA,NA,NA,NA,7.9884610921,0.185064666666667
"121","1",63318026,63324928,6903,"+","Zm00001d029237","gramene","protein_coding","","",FALSE,FALSE,NA,NA,NA,NA,NA,7.94340777075,0.185064666666667
"122","1",63325315,63328026,2712,"+","Zm00001d029238","gramene","protein_coding","","pco064025",TRUE,FALSE,"1-62534782",2.30304017811336e-18,NA,NA,NA,7.80855828057143,0.185064666666667
"123","1",63708680,63711620,2941,"+","Zm00001d029248","gramene","protein_coding","","",TRUE,FALSE,"1-62890997",1.3141102336926e-19,NA,NA,NA,6.362297846,0.186135166666667
"124","1",63744994,63752712,7719,"+","Zm00001d029249","gramene","protein_coding","","umc1917",TRUE,TRUE,"1-62920397",1.35615623619439e-13,NA,NA,NA,9.27683918783333,0.2038591
"125","1",63811849,63813987,2139,"-","Zm00001d029250","gramene","protein_coding","","sudh5",FALSE,TRUE,NA,NA,NA,NA,NA,14.4688007139263,0.2314647
"126","1",63834316,63858602,24287,"-","Zm00001d029251","gramene","protein_coding","","PCO099415",FALSE,FALSE,NA,NA,NA,NA,NA,15.0248053988857,0.2365302
"127","1",63839696,63841358,1663,"+","Zm00001d029252","gramene","protein_coding","","",FALSE,FALSE,NA,NA,NA,NA,NA,15.5315006393289,0.2365302
"128","1",63844652,63844903,252,"-","Zm00001d022748","gramene","lincRNA","","",FALSE,FALSE,NA,NA,NA,NA,NA,15.9778802058618,0.235364333333333
"129","1",63859845,63864152,4308,"-","Zm00001d029254","gramene","protein_coding","","gpm828",TRUE,FALSE,"1-63047490",3.84887831524194e-16,"1-63014271",3.88060453910283e-55,0.0265065635086261,14.7575303822565,0.23274475
"130","1",63865739,63867379,1641,"-","Zm00001d029255","gramene","protein_coding","","",TRUE,FALSE,NA,NA,NA,NA,NA,14.7309440727822,0.234410142857143
"131","1",63867544,63873593,6050,"+","Zm00001d029256","gramene","protein_coding","","",TRUE,FALSE,NA,NA,NA,NA,NA,13.9553072646004,0.234410142857143
"132","1",63916533,63917166,634,"+","Zm00001d029257","gramene","protein_coding","","",FALSE,FALSE,NA,NA,NA,NA,NA,11.130034280557,0.2345455
"133","1",64207240,64216522,9283,"+","Zm00001d029264","gramene","protein_coding","","ufg77",TRUE,FALSE,NA,NA,NA,NA,NA,7.4932635694,0.247879818181818
"134","1",64616235,64617629,1395,"+","Zm00001d029279","gramene","protein_coding","","",TRUE,FALSE,"1-63894611",1.13620838156832e-12,NA,NA,NA,12.638153891875,0.1830205
"135","1",64685464,64686836,1373,"+","Zm00001d029280","gramene","protein_coding","","",TRUE,FALSE,"1-63860413",1.15912303999056e-20,NA,NA,NA,14.2785748145,0.187833
"136","1",64986056,64988212,2157,"+","Zm00001d029290","gramene","protein_coding","","",FALSE,FALSE,NA,NA,NA,NA,NA,19.0238834056,0.212799
"137","1",65078005,65079230,1226,"-","Zm00001d029293","gramene","protein_coding","MYB-transcription factor 156","myb156",FALSE,TRUE,NA,NA,NA,NA,NA,34.8555948108,0.2484237
"138","1",65240611,65246632,6022,"-","Zm00001d029295","gramene","protein_coding","","",FALSE,FALSE,NA,NA,NA,NA,NA,16.0547578153,0.248427428571429
"139","1",66120056,66126500,6445,"-","Zm00001d029328","gramene","protein_coding","","",TRUE,FALSE,NA,NA,NA,NA,NA,6.395544796,0.232054333333333
"140","1",66242685,66248638,5954,"+","Zm00001d029329","gramene","protein_coding","","",TRUE,FALSE,NA,NA,NA,NA,NA,6.76687376333333,0.2270322
"141","1",66249983,66251264,1282,"+","Zm00001d029330","gramene","protein_coding","","",FALSE,FALSE,NA,NA,NA,NA,NA,6.76687376333333,0.226886272727273
"142","1",66251597,66255370,3774,"+","Zm00001d029331","gramene","protein_coding","","TIDP3667",TRUE,FALSE,"1-65431896",2.11779971895394e-14,NA,NA,NA,6.546464355,0.225948
"143","1",66255544,66255624,81,"+","Zm00001d029332","gramene","tRNA","","",FALSE,FALSE,NA,NA,NA,NA,NA,6.546464355,0.225948
"144","1",66255869,66256060,192,"+","Zm00001d022754","gramene","lincRNA","","",FALSE,FALSE,NA,NA,NA,NA,NA,6.546464355,0.225948
"145","1",66840608,66841749,1142,"-","Zm00001d029348","gramene","protein_coding","","",FALSE,FALSE,NA,NA,NA,NA,NA,8.517977018,0.179007
"146","1",66851917,66852891,975,"-","Zm00001d029349","gramene","protein_coding","","TIDP2891",FALSE,FALSE,NA,NA,NA,NA,NA,8.90643738866667,0.179007
"147","1",67215649,67217627,1979,"+","Zm00001d029354","gramene","protein_coding","","",FALSE,FALSE,NA,NA,NA,NA,NA,9.82809814225,0.346179125
"148","1",67228813,67231314,2502,"-","Zm00001d029356","gramene","protein_coding","benzoxazinone synthesis11","bx11",TRUE,TRUE,NA,NA,"1-66330498",5.42737253262475e-17,NA,9.806829813,0.3457702
"149","1",67296852,67298387,1536,"-","Zm00001d029357","gramene","protein_coding","","",FALSE,FALSE,NA,NA,NA,NA,NA,10.1589921354,0.3379284
"150","1",67299416,67300911,1496,"-","Zm00001d029358","gramene","protein_coding","","",FALSE,FALSE,NA,NA,NA,NA,NA,10.1589921354,0.3379284
"151","1",67311965,67314047,2083,"-","Zm00001d029359","gramene","protein_coding","benzoxazinone synthesis10","bx10",TRUE,TRUE,"1-66311872",3.4720966409588e-10,NA,NA,NA,9.53018091266667,0.341533666666667
"152","1",67351838,67352015,178,"-","ENSRNA049473576","Ensembl_Plants","snRNA","U2","",FALSE,FALSE,NA,NA,NA,NA,NA,7.487633816,0.25295
"153","1",67387447,67389052,1606,"-","Zm00001d029360","gramene","protein_coding","","",FALSE,FALSE,NA,NA,NA,NA,NA,8.55398686775,0.25168475
"154","1",67435966,67442277,6312,"-","Zm00001d029361","gramene","protein_coding","","",TRUE,FALSE,"1-66183715",3.30181788119998e-15,"1-66177765",1.2040632858644e-124,0.500022976885252,8.568863379,0.247663833333333
"155","1",67484553,67485505,953,"-","Zm00001d029362","gramene","protein_coding","","",FALSE,FALSE,NA,NA,NA,NA,NA,8.5986164015,0.239622
"156","1",68890355,68892811,2457,"+","Zm00001d029396","gramene","protein_coding","","",FALSE,FALSE,NA,NA,NA,NA,NA,43.0529756981,0.208536777777778
"157","1",68934359,68938239,3881,"+","Zm00001d029397","gramene","protein_coding","phospholipase D7","pld7",TRUE,TRUE,NA,NA,"1-67778109",9.20242249745516e-17,NA,38.3572868684,0.2102205
"158","1",68946232,68947409,1178,"-","Zm00001d029398","gramene","protein_coding","","",FALSE,FALSE,NA,NA,NA,NA,NA,36.110476828,0.211578888888889
"159","1",69009947,69012985,3039,"-","Zm00001d029400","gramene","protein_coding","","",FALSE,FALSE,NA,NA,NA,NA,NA,19.4764138778182,0.199202
"160","1",69015049,69017291,2243,"-","Zm00001d029402","gramene","protein_coding","","umc2227",TRUE,TRUE,"1-67875578",6.94952067121635e-28,"1-67858484",5.30350194422068e-96,0.269017001074417,18.6294052519,0.184694
"161","1",69022007,69025666,3660,"+","Zm00001d029403","gramene","protein_coding","","",FALSE,FALSE,NA,NA,NA,NA,NA,18.0499633463,0.184939
"162","1",69028562,69029245,684,"-","Zm00001d029404","gramene","protein_coding","","",FALSE,FALSE,NA,NA,NA,NA,NA,18.0499633463,0.184939
"163","1",69428973,69430785,1813,"+","Zm00001d029412","gramene","protein_coding","matrilineal1","matl1",FALSE,TRUE,NA,NA,NA,NA,NA,6.42824295073552,0.2109944
